children,dob_years,education,marital_status,gender,income_type,debt,total_income,purpose
1,42,GRADUATE,married,F,employee,0,253875.6395,buying a home
1,36,high school,married,F,employee,0,112080.0141,car purchase
0,33,high school,married,M,employee,0,145885.9523,buying a home
3,32,high school,married,M,employee,0,267628.5503,degree
0,53,high school,married,F,retiree,0,158616.0779,get married
0,27,GRADUATE,married,M,unemployed,0,255763.5654,buying a home
0,43,GRADUATE,married,F,unemployed,0,240525.9719,housing transactions
0,50,high school,married,M,employee,0,135823.9342,education
2,35,GRADUATE,married,F,employee,0,95856.83242,for a wedding
0,41,high school,married,M,employee,0,144425.9383,buying a family home
2,36,GRADUATE,married,M,unemployed,0,113943.4915,buying a property
0,40,high school,married,F,employee,0,77069.23427,purchase of commercial property
0,65,high school,married,M,retiree,0,,get married
0,54,underGRADUATE,married,F,employee,0,130458.2289,car purchase
0,56,GRADUATE,married,F,unemployed,1,165127.9118,purchase of residential property
1,26,high school,married,F,employee,0,116820.9044,house construction
0,35,high school,married,F,employee,0,289202.7042,property
0,33,GRADUATE,married,M,employee,0,90410.58674,real estate
0,53,high school,widow / widower,F,retiree,0,56823.77724,to buy a used car
0,48,high school,divorced,F,employee,0,242831.108,to buy a car
1,36,high school,married,M,employee,0,209552.6446,property
1,33,high school,married,F,employee,0,131812.2039,car purchase
1,24,high school,married,F,employee,0,149681.1407,to buy a used car
0,21,GRADUATE,married,M,employee,0,128265.7209,get married
1,57,high school,single,F,retiree,0,290547.236,commercial real estate transactions
0,67,high school,married,M,retiree,0,55112.75773,buying a property
0,41,high school,married,M,public employee,0,,education
0,28,GRADUATE,married,M,employee,0,308848.9837,house construction
1,26,GRADUATE,married,F,employee,0,187863.2373,house construction
0,63,high school,single,F,retiree,0,,construction of residential real estate
1,62,high school,married,F,retiree,0,171456.068,commercial real estate transactions
0,47,secondary school,married,F,employee,0,275485.6845,housing
0,34,high school,married,F,employee,1,139057.4642,for a wedding
0,48,high school,married,F,unemployed,0,157245.7862,buying a home
0,35,high school,married,F,employee,0,104660.4492,transactions with real estate
0,68,high school,married,M,retiree,0,77805.67744,for a wedding
0,33,high school,single,M,employee,0,138830.6507,cars
0,43,GRADUATE,married,F,unemployed,0,154128.8787,car purchase
0,25,GRADUATE,single,M,employee,1,192247.2986,education
0,31,GRADUATE,married,F,unemployed,0,754240.7972,education
0,30,high school,single,M,unemployed,0,142865.5791,buying a property
0,50,high school,married,F,public employee,0,,used car deal
0,20,underGRADUATE,single,F,employee,0,82065.08902,education
0,43,underGRADUATE,divorced,F,unemployed,0,272957.1335,car purchase
1,26,high school,married,F,employee,0,100780.4967,to buy a car
1,49,high school,single,F,employee,0,106385.9197,education
2,37,high school,married,F,unemployed,0,182682.4599,used car deal
1,33,GRADUATE,married,M,public employee,0,356277.9093,for a wedding
0,45,high school,married,F,employee,0,162065.5164,house construction
0,54,high school,married,F,employee,0,44591.80689,automobile
